Preemptive Shortest Job First (SJF) Scheduling Policy

Process Id    Arrival Time    Burst Time    Completion Time    Waiting Time    Turn Around Time
     1              1             7                21               13                20
     2              3             3                 6                0                 3
     3              5             5                24               14                19
     4              7             2                 9                0                 2
     5              8             9               176              159               168
     6             10             4                16                2                 6
     7             15             6                95               74                80
     8             17             2                19                0                 2
     9             19             4                32                9                13
    10             21             7               122               94               101
    11             23             3                28                2                 5
    12             25             1                26                0                 1
    13             27             5                40                8                13
    14             29            10               195              156               166
    15             31             2                34                1                 3
    16             33             4                43                6                10
    17             37             6               103               60                66
    18             39             8               151              104               112
    19             41             2                45                2                 4
    20             43             5                51                3                 8
    21             45             1                46                0                 1
    22             47             4                60                9                13
    23             49             7               129               73                80
    24             51             3                54                0                 3
    25             53             9               185              123               132
    26             55             2                57                0                 2
    27             59             4                64                1                 5
    28             61             8               159               90                98
    29             63             1                65                1                 2
    30             65             5                70                0                 5
    31             67             3                73                3                 6
    32             69             7               136               60                67
    33             71             2                75                2                 4
    34             73             4                79                2                 6
    35             75            10               205              120               130
    36             77             6               109               26                32
    37             79             3                82                0                 3
    38             81             8               167               78                86
    39             83             2                85                0                 2
    40             85             5                94                4                 9
    41             87             7               143               49                56
    42             91             6               115               18                24
    43             93             2                97                2                 4

Average Waiting Time: 31.81
Average Turn Around Time: 36.56
